,8hz,10Hz,12Hz,15Hz
0,79.17,91.67,91.67,95.83
1,66.67,87.50,83.33,87.50
2,95.83,100.00,100.00,95.83
3,87.50,83.33,79.17,83.33
4,79.17,83.33,91.67,95.83
5,95.83,91.67,100.00,95.83
6,79.17,83.33,91.67,95.83
7,95.83,91.67,100.00,95.83
8,83.33,91.67,87.50,79.17
9,95.83,95.83,95.83,95.83
10,83.33,83.33,70.83,87.50
11,79.17,91.67,75.00,87.50
12,70.83,58.33,62.50,75.00
13,95.83,100.00,95.83,100.00
14,91.67,95.83,95.83,91.67
15,66.67,83.33,62.50,87.50
16,91.67,83.33,95.83,95.83
17,83.33,87.50,83.33,79.17
18,75.00,91.67,75.00,91.67
19,87.50,95.83,87.50,95.83
20,83.33,70.83,75.00,87.50
21,100.00,100.00,100.00,100.00
22,58.33,83.33,75.00,75.00
23,83.33,83.33,95.83,95.83
24,95.83,100.00,95.83,91.67
25,95.83,100.00,95.83,100.00
26,91.67,100.00,95.83,95.83
27,95.83,95.83,95.83,95.83
28,75.00,75.00,75.00,66.67
29,91.67,87.50,95.83,100.00
30,95.83,100.00,91.67,95.83
31,95.83,95.83,100.00,100.00
32,79.17,66.67,66.67,79.17
33,95.83,100.00,100.00,95.83
34,91.67,100.00,95.83,95.83
